Event,Run Date,Gender Pos,Overall Pos,Time,Age Grade
Southwark parkrun,10/01/2015,23,25,22:37,57.04%
Southwark parkrun,03/01/2015,20,21,22:20,57.76%
Finsbury parkrun,09/08/2014,83,107,26:32:00,48.62%
Finsbury parkrun,26/04/2014,77,83,23:29,54.93%
Finsbury parkrun,29/03/2014,65,73,23:44,54.35%
Finsbury parkrun,18/01/2014,124,179,30:08:00,42.81%
Finsbury parkrun,04/01/2014,33,35,23:28,54.97%
Finsbury parkrun,30/11/2013,38,41,22:49,56.54%
Finsbury parkrun,23/11/2013,35,38,23:09,55.72%
Finsbury parkrun,16/11/2013,79,112,29:46:00,43.34%